,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
171,Nikola Jokic,DEN,C,0.9405940594059405,0.7282724370344094,0.8345965225144895,0.5925925925925926,0.2692307692307692,0.6835273052820053,0.5583969465648855,0.678082191780822,0.5689981096408318,0.62,0.22,0.3,0.74,0.66,0.39,0.39,0.59,0.7,0.68,0.63,0.52,0.25,0.6,0.41,0.6
172,Damian Jones,ATL,C,0.026402640264026403,0.20078041858815182,0.3272403031654035,0.814814814814815,0.03846153846153846,0.3800358102059087,0.08473282442748094,0.26484018264840187,0.1058601134215501,0.1,0.0,0.03,0.44,0.32,0.23,0.27,0.51,0.33,0.4,0.08,0.33,0.5,0.19,0.88,0.23
173,Derrick Jones,MIA,SF,0.24752475247524752,0.3873714083008158,0.3446277307177887,0.5185185185185185,0.37179487179487175,0.29319606087735,0.16145038167938933,0.2732115677321157,0.25897920604914937,0.24,0.14,0.24,0.35,0.3,0.24,0.27,0.43,0.25,0.3,0.06,0.48,0.31,0.09,0.45,0.25
174,Tyus Jones,MEM,PG,0.7128712871287128,0.3366442000709471,0.3571110120374498,0.2962962962962964,0.4358974358974359,0.07833482542524621,0.18549618320610686,0.2853881278538813,0.18714555765595464,0.27,0.24,0.28,0.26,0.3,0.12,0.12,0.04,0.11,0.06,0.67,0.81,0.06,0.21,0.12,0.21
175,DeAndre Jordan,BRK,C,0.8712871287128713,0.7704859879389854,0.644672313865359,0.814814814814815,0.0,0.9368845120859445,0.2064885496183206,0.547945205479452,0.7107750472589792,0.16,0.0,0.0,0.54,0.39,0.32,0.51,0.78,1.0,0.96,0.12,0.19,0.47,0.33,0.31,0.31
176,Cory Joseph,SAC,PG,0.9900990099009901,0.6023412557644555,0.2501114578689255,0.22222222222222224,0.358974358974359,0.15622202327663384,0.21908396946564887,0.25722983257229837,0.3780718336483932,0.28,0.16,0.23,0.29,0.35,0.12,0.12,0.1,0.18,0.14,0.42,0.48,0.08,0.28,0.2,0.2
177,Frank Kaminsky,PHO,C,0.7425742574257426,0.4760553387726143,0.35621934908604547,0.3333333333333335,0.5256410256410255,0.3218442256042972,0.40381679389312974,0.2541856925418569,0.29300567107750475,0.5,0.4,0.49,0.34,0.39,0.26,0.3,0.22,0.38,0.31,0.2,0.24,0.19,0.23,0.24,0.4
178,Enes Kanter,BOS,C,0.8382838283828383,0.4803121674352607,0.7770842621489077,0.6296296296296297,0.03846153846153846,0.8128916741271263,0.5148854961832061,0.4779299847792998,0.34782608695652173,0.59,0.04,0.04,0.9,0.83,0.4,0.41,0.98,0.71,0.83,0.11,0.19,0.22,0.47,0.43,0.59
179,Luke Kennard,DET,SG,0.22442244224422442,0.5257183398368216,0.2893446277307178,0.4444444444444447,0.6153846153846153,0.16025067144136082,0.3179389312977099,0.25570776255707767,0.24007561436672967,0.44,0.5,0.52,0.25,0.28,0.16,0.14,0.06,0.23,0.15,0.28,0.24,0.08,0.23,0.18,0.36
180,Michael Kidd-Gilchrist,DAL,SF-PF,0.5115511551155115,0.5278467541681446,0.294694605439144,0.3333333333333335,0.08974358974358974,0.37108325872873765,0.21412213740458014,0.29071537290715377,0.34782608695652173,0.28,0.04,0.04,0.44,0.5,0.25,0.26,0.39,0.38,0.37,0.1,0.38,0.25,0.14,0.35,0.25
