,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
249,Victor Oladipo,IND,SG,0.5622895622895623,0.8625981441827266,0.5135978600089166,0.3461538461538463,0.4358974358974359,0.21297989031078612,0.6030534351145038,0.32876712328767127,0.5311909262759924,0.3684210526315788,0.7,0.4,0.5,0.54,0.6,0.32,0.34,0.1,0.3,0.22,0.36,0.76,0.14,0.47,0.22,0.56
250,Kelly Olynyk,MIA,C,0.8888888888888888,0.45431834403997134,0.43513152028533214,0.5769230769230769,0.6025641025641025,0.40082266910420483,0.3721374045801527,0.33257229832572305,0.4347826086956522,0.7368421052631576,0.43,0.44,0.5,0.32,0.3,0.25,0.26,0.29,0.48,0.41,0.28,0.43,0.19,0.44,0.59,0.42
251,Cedi Osman,CLE,SF,0.3367003367003367,0.5792291220556743,0.23004904146232724,0.3846153846153848,0.6153846153846153,0.21435100548446076,0.28320610687022896,0.22983257229832574,0.09262759924385633,0.5263157894736841,0.39,0.4,0.49,0.24,0.27,0.15,0.17,0.1,0.27,0.21,0.21,0.33,0.03,0.28,0.31,0.31
252,Kelly Oubre,PHO,SF,0.8282828282828283,0.5503211991434689,0.2576905929558627,0.3076923076923078,0.5256410256410255,0.28427787934186477,0.3629770992366413,0.21765601217656017,0.29678638941398866,0.5263157894736841,0.49,0.36,0.48,0.35,0.39,0.28,0.31,0.2,0.33,0.28,0.06,0.48,0.19,0.23,0.49,0.41
253,Jabari Parker,SAC,PF,0.531986531986532,0.7234118486795147,0.47837717342844405,0.3846153846153848,0.24358974358974358,0.35968921389396713,0.5389312977099238,0.2625570776255708,0.20226843100189038,0.5789473684210523,0.62,0.2,0.25,0.7,0.7,0.27,0.3,0.33,0.38,0.35,0.2,0.38,0.14,0.4,0.25,0.51
254,Chandler Parsons,ATL,SF,0.19865319865319866,0.5146324054246966,0.28399465002229163,0.3076923076923078,0.5769230769230769,0.20063985374771484,0.36679389312977095,0.23135464231354644,0.19659735349716448,0.6315789473684211,0.44,0.4,0.49,0.31,0.34,0.15,0.16,0.06,0.31,0.21,0.27,0.38,0.14,0.33,0.24,0.35
255,Patrick Patterson,LAC,PF,0.8282828282828283,0.3604568165596002,0.1903700401248328,0.3461538461538463,0.8333333333333334,0.26965265082266915,0.1072519083969466,0.2503805175038052,0.27977315689981097,0.5789473684210523,0.21,0.42,0.49,0.05,0.07,0.08,0.05,0.22,0.32,0.28,0.1,0.33,0.17,0.12,0.18,0.16
256,Chris Paul,OKC,PG,0.7373737373737373,0.8311920057102069,0.7931341952741864,0.5384615384615384,0.5,0.22029250457038393,0.5648854961832062,0.6971080669710807,0.555765595463138,0.21052631578947353,0.6,0.46,0.51,0.45,0.48,0.43,0.39,0.1,0.31,0.23,0.91,0.81,0.06,0.51,0.25,0.57
257,Cameron Payne,PHO,PG,0.19865319865319866,0.2758743754461098,0.24342398573339283,0.1538461538461538,0.5256410256410255,0.12614259597806218,0.3778625954198473,0.17427701674277019,0.1058601134215501,0.21052631578947353,0.49,0.4,0.48,0.3,0.39,0.09,0.07,0.1,0.19,0.14,0.49,0.57,0.11,0.4,0.41,0.3
258,Elfrid Payton,NYK,PG,0.6835016835016835,0.7280513918629549,0.4342398573339278,0.1923076923076923,0.20512820512820512,0.21526508226691046,0.4179389312977099,0.24657534246575347,0.28733459357277885,0.31578947368421056,0.46,0.12,0.18,0.52,0.58,0.18,0.24,0.24,0.26,0.23,0.78,0.57,0.14,0.58,0.24,0.33
259,Mason Plumlee,DEN,C,0.936026936026936,0.48572448251249106,0.5251894783771734,0.4999999999999999,0.01282051282051282,0.5749542961608776,0.2858778625954198,0.3493150684931507,0.41209829867674863,0.7368421052631576,0.25,0.0,0.02,0.52,0.49,0.3,0.44,0.59,0.56,0.58,0.39,0.48,0.44,0.49,0.61,0.3
260,Jakob Poeltl,SAS,C,0.5959595959595959,0.27908636688079935,0.5104770396790013,0.6923076923076924,0.0,0.5731261425959782,0.14389312977099236,0.3592085235920853,0.332703213610586,0.8421052631578947,0.18,0.0,0.0,0.51,0.42,0.11,0.2,0.82,0.45,0.58,0.15,0.29,0.61,0.28,0.63,0.24
